generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
protenix-v2,0.8,50,ranked_success,deeprank_ab,3.0,1.0,7.5,0.1490478260869565,0.09937888198757763,0.20496894409937888
protenix-v2,0.8,50,ranked_success,abag_rank,10.0,8.0,10.0,0.09297701863354037,0.049689440993788817,0.14285714285714285
boltz2,0.23,5,gap_recovered,iptm,8.0,6.0,9.0,-0.006128025006181179,-0.1071571059720732,0.09667744817056982
boltz2,0.23,5,gap_recovered,ptm,10.0,9.0,10.0,-0.05722862873341578,-0.15207816642637487,0.04019821597000173
boltz2,0.23,5,gap_recovered,ranking_score,4.0,3.0,7.0,0.14388230542587183,0.033742920462940265,0.25911941792241344
boltz2,0.23,5,gap_recovered,complex_plddt,2.0,1.0,3.0,0.32590745146298455,0.16789423481870716,0.47788975718268395
boltz2,0.23,5,gap_recovered,pdockq2,5.0,3.0,6.0,0.08252506035689594,-0.05164137850763686,0.22705787471712646
boltz2,0.23,5,gap_recovered,ipsae,9.0,7.0,10.0,-0.011943263208354935,-0.11880649823852664,0.1020715024522003
boltz2,0.23,5,gap_recovered,anticonf,7.0,5.0,8.0,0.042509856292143926,-0.08251670549626268,0.1780029262086523
boltz2,0.23,5,gap_recovered,pss,2.0,1.0,6.0,0.3049779370193334,0.10720246919333243,0.49344098157198985
boltz2,0.23,5,gap_recovered,deeprank_ab,3.0,1.0,4.0,0.2634748672211768,0.13282313244749572,0.4051561361736247
boltz2,0.23,5,gap_recovered,abag_rank,6.0,4.0,9.0,0.06270394513607051,-0.05115751445086729,0.18802806733397895
boltz2,0.23,5,ranked_success,iptm,8.0,6.0,9.0,0.2871259254658385,0.2238796583850932,0.3535403726708074
boltz2,0.23,5,ranked_success,ptm,10.0,9.0,10.0,0.2825912888198758,0.21965760869565215,0.3490077639751553
boltz2,0.23,5,ranked_success,ranking_score,4.0,3.0,7.0,0.30055842857142856,0.2362111801242236,0.36773524844720495
boltz2,0.23,5,ranked_success,complex_plddt,2.0,1.0,3.0,0.31683425776397517,0.25130201863354035,0.3848136645962733
boltz2,0.23,5,ranked_success,pdockq2,5.0,3.0,6.0,0.2950399378881988,0.2304340062111801,0.362082298136646
boltz2,0.23,5,ranked_success,ipsae,9.0,7.0,10.0,0.28657815527950314,0.22248214285714285,0.35335403726708076
boltz2,0.23,5,ranked_success,anticonf,7.0,5.0,8.0,0.2914815527950311,0.22707919254658387,0.3581389751552795
boltz2,0.23,5,ranked_success,pss,2.0,1.0,6.0,0.31503206832298136,0.2482608695652174,0.38540450310559
boltz2,0.23,5,ranked_success,deeprank_ab,3.0,1.0,4.0,0.3111125807453416,0.2456164596273292,0.37801242236024846
boltz2,0.23,5,ranked_success,abag_rank,6.0,4.0,9.0,0.2932640621118012,0.2287562111801242,0.36059239130434784
