generator,threshold,N,ranker,oracle,random,ranked,gap_recovered,gap_lo,gap_hi
boltz2,0.23,50,pdockq2,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2236024844720497, 0.36645962732919257)",0.030895874788627885,-0.10447793730085243,0.17494324769866545
boltz2,0.23,50,ipsae,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.18633540372670807, 0.32298136645962733)",-0.1473899077128451,-0.23979582614090422,-0.05726872246696048
boltz2,0.23,50,anticonf,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2236024844720497, 0.36645962732919257)",0.030823637155286663,-0.0995594873057873,0.17342296526263892
boltz2,0.23,50,pss,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2539130434782608, 0.3967701863354037)",0.17462696175112524,0.04642076897857136,0.3177153440995682
boltz2,0.23,50,deeprank_ab,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2608695652173913, 0.40372670807453415)",0.2084403099418124,0.06614785992217903,0.36709155246462044
boltz2,0.23,50,abag_rank,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2360248447204969, 0.37888198757763975)",0.08895272917644577,-0.03193417933342611,0.22685499865660808
boltz2,0.8,5,iptm,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07114829192546585, 0.16180279503105588)",0.1846800796256037,-0.11460336538461596,0.43780275433648086
boltz2,0.8,5,ptm,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07058928571428572, 0.16152251552795027)",0.16835661475014058,-0.1272727272727258,0.42071840311405884
boltz2,0.8,5,ranking_score,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07369565217391305, 0.16627406832298136)",0.3217094558657319,0.04796920005770072,0.5545100056933977
boltz2,0.8,5,complex_plddt,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.0760527950310559, 0.17043478260869563)",0.4522696370494755,0.26588391529325467,0.6316674528301904
boltz2,0.8,5,pdockq2,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07332298136645962, 0.16543478260869565)",0.30177447303295474,0.04245021973232651,0.5021851272670046
boltz2,0.8,5,ipsae,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.06922127329192546, 0.15838664596273289)",0.06917141615331807,-0.2092204456502395,0.33536895315810755
boltz2,0.8,5,anticonf,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07236024844720496, 0.16413431677018628)",0.253808694522303,-0.02346382966594464,0.4752608534112204
boltz2,0.8,5,pss,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07462732919254658, 0.17021972049689438)",0.42644062344569567,0.16476424952939897,0.6595076216376806
boltz2,0.8,5,deeprank_ab,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.07698680124223602, 0.172361801242236)",0.5082693652741129,0.3559899580179462,0.6506629227500194
boltz2,0.8,5,abag_rank,"(0.08596195652173914, 0.18751630434782607)","(0.06801242236024845, 0.1560256211180124)","(0.06987499999999999, 0.16124223602484472)",0.15021256139471903,-0.07804545095873157,0.4048224200813815
boltz2,0.8,50,iptm,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.049689440993788817, 0.14285714285714285)",-0.38159961117536595,-1.2059500180440277,0.21874999999999972
boltz2,0.8,50,ptm,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.043478260869565216, 0.13043478260869565)",-0.5417391796236126,-1.4668517347201722,0.08736447442166093
boltz2,0.8,50,ranking_score,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.055900621118012424, 0.14906832298136646)",-0.23099736511989846,-1.078533943430017,0.3730407523510971
boltz2,0.8,50,complex_plddt,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.06832298136645963, 0.16770186335403728)",0.28222625665205225,-0.025056947608200392,0.7101762971328187
boltz2,0.8,50,pdockq2,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.06832298136645963, 0.16149068322981366)",0.11683025202843489,-0.29199430151866707,0.5633425616728979
boltz2,0.8,50,ipsae,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.049689440993788817, 0.14285714285714285)",-0.38607998376222824,-1.2584757007154654,0.26200962470454175
boltz2,0.8,50,anticonf,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.062111801242236024, 0.15527950310559005)",-0.04706216705256911,-0.5671075389935649,0.42638623326959785
boltz2,0.8,50,pss,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.06664596273291926, 0.16099378881987578)",0.07509615409002167,-0.3348197396263991,0.5070749059414686
boltz2,0.8,50,deeprank_ab,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.07453416149068323, 0.17391304347826086)",0.4180169440937276,-0.0214569823248635,0.8415245315595775
boltz2,0.8,50,abag_rank,"(0.09937888198757763, 0.20496894409937888)","(0.06639751552795031, 0.1536645962732919)","(0.07453416149068323, 0.18012422360248448)",0.432170866715794,0.09665763324299916,0.8363372244741744
