target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
9nw9,boltz2,0.9313092040816326,0.10280259462681716,0.652918,0.08417750753594783,True
9nzf,boltz2,0.9904945012244897,0.00723181682946246,0.946468,0.8634449721234349,False
9obn,boltz2,0.9724157485714285,0.011632822795709367,0.82164,0.7069954215963375,False
9ppw,boltz2,0.680336346122449,0.10975014732333283,0.181982,0.04390964558998228,True
9ppy,boltz2,0.6956094016326531,0.12655206793575777,0.199694,0.04164382307440345,True
9pso,boltz2,0.9079129763265307,0.08320272443716484,0.657475,0.0384997039883512,True
9q1l,boltz2,0.9908812620408165,0.004360887693838651,,0.8952220497586492,False
9q6h,boltz2,0.9309316448979592,0.0539329003759795,0.418107,0.02282829190913926,True
9q6n,boltz2,0.9264425412244899,0.05268072698791891,0.438523,0.031027658819318942,True
9q6y,boltz2,0.8643286424489797,0.06746251500482803,0.19861,0.4113970099646623,False
9q6z,boltz2,0.8643286424489797,0.06746251500482803,0.19861,0.4534755644575717,False
9q7y,boltz2,0.5437650146938776,0.09159862484271986,0.040593,0.5742348544512574,False
