01:42:59  [tt-quietbox:tt1]   diffusion 171/200
01:43:00  [tt-quietbox:tt1]   diffusion 172/200
01:43:00  [tt-quietbox:tt1]   diffusion 173/200
01:43:01  [tt-quietbox:tt1]   diffusion 174/200
01:43:01  [tt-quietbox:tt1]   diffusion 175/200
01:43:01  [tt-quietbox:tt1]   diffusion 176/200
01:43:02  [tt-quietbox:tt1]   diffusion 177/200
01:43:02  [tt-quietbox:tt1]   diffusion 178/200
01:43:03  [tt-quietbox:tt1]   diffusion 179/200
01:43:03  [tt-quietbox:tt1]   diffusion 180/200
01:43:04  [tt-quietbox:tt1]   diffusion 181/200
01:43:04  [tt-quietbox:tt1]   diffusion 182/200
01:43:05  [tt-quietbox:tt1]   diffusion 183/200
01:43:05  [tt-quietbox:tt1]   diffusion 184/200
01:43:05  [tt-quietbox:tt1]   diffusion 185/200
01:43:06  [tt-quietbox:tt1]   diffusion 186/200
01:43:06  [tt-quietbox:tt1]   diffusion 187/200
01:43:07  [tt-quietbox:tt1]   diffusion 188/200
01:43:07  [tt-quietbox:tt1]   diffusion 189/200
01:43:08  [tt-quietbox:tt1]   diffusion 190/200
01:43:08  [tt-quietbox:tt1]   diffusion 191/200
01:43:08  [tt-quietbox:tt1]   diffusion 192/200
01:43:09  [tt-quietbox:tt1]   diffusion 193/200
01:43:09  [tt-quietbox:tt1]   diffusion 194/200
01:43:10  [tt-quietbox:tt1]   diffusion 195/200
01:43:10  [tt-quietbox:tt1]   diffusion 196/200
01:43:11  [tt-quietbox:tt1]   diffusion 197/200
01:43:11  [tt-quietbox:tt1]   diffusion 198/200
01:43:11  [tt-quietbox:tt1]   diffusion 199/200
01:43:12  [tt-quietbox:tt1]   confidence
01:43:38  [tt-quietbox:tt1]   saving
01:43:39  [tt-quietbox:tt1] ✓ 02_b140_tok720_bk736 — 228.6s
01:43:39  [tt-quietbox:tt1] 03_b78_tok658_bk672
01:43:39  [tt-quietbox:tt1]   prep
01:43:45  [tt-quietbox:tt1]   trunk 0/10
01:43:53  [tt-quietbox:tt1]   trunk 1/10
01:44:00  [tt-quietbox:tt1]   trunk 2/10
01:44:08  [tt-quietbox:tt1]   trunk 3/10
01:44:16  [tt-quietbox:tt1]   trunk 4/10
01:44:23  [tt-quietbox:tt1]   trunk 5/10
01:44:31  [tt-quietbox:tt1]   trunk 6/10
01:44:39  [tt-quietbox:tt1]   trunk 7/10
01:44:46  [tt-quietbox:tt1]   trunk 8/10
01:44:54  [tt-quietbox:tt1]   trunk 9/10
01:45:07  [tt-quietbox:tt1]   diffusion 0/200
01:45:09  [tt-quietbox:tt1]   diffusion 1/200
01:45:09  [tt-quietbox:tt1]   diffusion 2/200
01:45:10  [tt-quietbox:tt1]   diffusion 3/200
01:45:10  [tt-quietbox:tt1]   diffusion 4/200
01:45:11  [tt-quietbox:tt1]   diffusion 5/200
01:45:11  [tt-quietbox:tt1]   diffusion 6/200
01:45:11  [tt-quietbox:tt1]   diffusion 7/200
01:45:12  [tt-quietbox:tt1]   diffusion 8/200
01:45:12  [tt-quietbox:tt1]   diffusion 9/200
01:45:12  [tt-quietbox:tt1]   diffusion 10/200
01:45:13  [tt-quietbox:tt1]   diffusion 11/200
01:45:13  [tt-quietbox:tt1]   diffusion 12/200
01:45:14  [tt-quietbox:tt1]   diffusion 13/200
01:45:14  [tt-quietbox:tt1]   diffusion 14/200
01:45:14  [tt-quietbox:tt1]   diffusion 15/200
01:45:15  [tt-quietbox:tt1]   diffusion 16/200
01:45:15  [tt-quietbox:tt1]   diffusion 17/200
01:45:15  [tt-quietbox:tt1]   diffusion 18/200
01:45:16  [tt-quietbox:tt1]   diffusion 19/200
01:45:16  [tt-quietbox:tt1]   diffusion 20/200
01:45:16  [tt-quietbox:tt1]   diffusion 21/200
01:45:17  [tt-quietbox:tt1]   diffusion 22/200
01:45:17  [tt-quietbox:tt1]   diffusion 23/200
01:45:18  [tt-quietbox:tt1]   diffusion 24/200
01:45:18  [tt-quietbox:tt1]   diffusion 25/200
01:45:18  [tt-quietbox:tt1]   diffusion 26/200
01:45:19  [tt-quietbox:tt1]   diffusion 27/200
01:45:19  [tt-quietbox:tt1]   diffusion 28/200
01:45:19  [tt-quietbox:tt1]   diffusion 29/200
01:45:20  [tt-quietbox:tt1]   diffusion 30/200
01:45:20  [tt-quietbox:tt1]   diffusion 31/200
01:45:21  [tt-quietbox:tt1]   diffusion 32/200
01:45:21  [tt-quietbox:tt1]   diffusion 33/200
01:45:21  [tt-quietbox:tt1]   diffusion 34/200
01:45:22  [tt-quietbox:tt1]   diffusion 35/200
01:45:22  [tt-quietbox:tt1]   diffusion 36/200
01:45:22  [tt-quietbox:tt1]   diffusion 37/200
01:45:23  [tt-quietbox:tt1]   diffusion 38/200
01:45:23  [tt-quietbox:tt1]   diffusion 39/200
